points : A
(0.00210008, 0.945905, 0.324436)1.5(0,0.7,0)
(0.730234, 0.528221, 0.433291)1.5(1.,0,0)
(0.276712, 0.707764, 0.650001)1.5(1.,0,0)
(0.648483, 0.151226, 0.746057)1.5(1.,0,0)
(0.765734, 0.553456, 0.327626)1.5(0,0.7,0)
(0.0398486, 0.243069, 0.96919)1.5(0,0.7,0)
(0.145406, 0.163751, 0.975727)1.5(1.,0,0)
(0.96606, 0.258119, 0.010121)1.5(0,0.7,0)
(0.0136608, 0.579275, 0.815018)1.5(0,0.7,0)
(0.555564, 0.585308, 0.590562)1.5(1.,0,0)
(0.203016, 0.809753, 0.550532)1.5(0,0.7,0)
(0.499716, 0.0809473, 0.862398)1.5(0,0.7,0)
(0.633681, 0.649284, 0.420569)1.5(1.,0,0)
(0.256428, 0.743911, 0.617123)1.5(0,0.7,0)
(0.665749, 0.644728, 0.375639)1.5(1.,0,0)
(0.2647, 0.859311, 0.437629)1.5(0,0.7,0)
(0.729964, 0.177446, 0.66005)1.5(1.,0,0)
(0.512981, 0.606098, 0.607861)1.5(1.,0,0)
(0.790228, 0.507139, 0.344021)1.5(0,0.7,0)
(0.333459, 0.942388, 0.0266329)1.5(0,0.7,0)
(0.481855, 0.118742, 0.868168)1.5(0,0.7,0)
(0.0610668, 0.00954791, 0.998088)1.5(1.,0,0)
(0.391646, 0.3874, 0.834587)1.5(1.,0,0)
(0.529007, 0.641077, 0.556032)1.5(1.,0,0)
(0.532135, 0.225345, 0.81612)1.5(0,0.7,0)
(0.406193, 0.39709, 0.822998)1.5(1.,0,0)
(0.774126, 0.112598, 0.622938)1.5(0,0.7,0)
(0.374265, 0.714077, 0.591625)1.5(0,0.7,0)
(0.82518, 0.520907, 0.218482)1.5(0,0.7,0)
(0.240503, 0.454237, 0.857804)1.5(0,0.7,0)
(0.384117, 0.735386, 0.558267)1.5(0,0.7,0)
(0.453736, 0.221879, 0.863072)1.5(0,0.7,0)
(0.573502, 0.0740806, 0.815848)1.5(0,0.7,0)
(0.465049, 0.135879, 0.874795)1.5(0,0.7,0)
(0.123254, 0.787989, 0.603227)1.5(0,0.7,0)
(0.573999, 0.807934, 0.133297)1.5(0,0.7,0)
(0.809862, 0.572399, 0.128384)1.5(0,0.7,0)
(0.656882, 0.615268, 0.435834)1.5(1.,0,0)
(0.223035, 0.207347, 0.952503)1.5(1.,0,0)
(0.669447, 0.219108, 0.709812)1.5(1.,0,0)
(0.829635, 0.459678, 0.316863)1.5(0,0.7,0)
(0.487651, 0.584967, 0.648082)1.5(1.,0,0)
(0.826897, 0.544413, 0.14091)1.5(0,0.7,0)
(0.402945, 0.914416, 0.0384489)1.5(0,0.7,0)
(0.548491, 0.703348, 0.452171)1.5(1.,0,0)
(0.0788786, 0.715357, 0.694292)1.5(1.,0,0)
(0.684673, 0.431062, 0.587715)1.5(1.,0,0)
(0.383034, 0.865169, 0.323679)1.5(1.,0,0)
(0.408245, 0.243362, 0.879836)1.5(0,0.7,0)
(0.304434, 0.755657, 0.579916)1.5(0,0.7,0)
(0.170415, 0.661969, 0.729901)1.5(1.,0,0)
(0.362794, 0.456986, 0.812123)1.5(1.,0,0)
(0.0239257, 0.866403, 0.498771)1.5(0,0.7,0)
(0.0889369, 0.935583, 0.341722)1.5(0,0.7,0)
(0.680227, 0.505713, 0.530609)1.5(1.,0,0)
(0.226418, 0.963751, 0.141131)1.5(1.,0,0)
(0.135009, 0.912682, 0.385725)1.5(0,0.7,0)
(0.905309, 0.27521, 0.323534)1.5(1.,0,0)
(0.125271, 0.654729, 0.745411)1.5(1.,0,0)
(0.594165, 0.50373, 0.627076)1.5(1.,0,0)
(0.868139, 0.496289, 0.00555626)1.5(0,0.7,0)
(0.0519188, 0.686138, 0.725616)1.5(1.,0,0)
(0.34915, 0.191678, 0.917253)1.5(0,0.7,0)
(0.0304044, 0.242715, 0.969621)1.5(0,0.7,0)
(0.651777, 0.594527, 0.470877)1.5(1.,0,0)
(0.151781, 0.897144, 0.414843)1.5(0,0.7,0)
(0.798763, 0.333119, 0.501008)1.5(0,0.7,0)
(0.28362, 0.70514, 0.649875)1.5(1.,0,0)
(0.765176, 0.194971, 0.613589)1.5(0,0.7,0)
(0.639646, 0.462119, 0.614247)1.5(1.,0,0)
(0.446781, 0.790193, 0.419503)1.5(1.,0,0)
(0.67161, 0.308711, 0.673526)1.5(1.,0,0)
(0.152418, 0.97724, 0.147552)1.5(1.,0,0)
(0.424823, 0.904055, 0.0470051)1.5(0,0.7,0)
(0.92464, 0.299749, 0.234929)1.5(1.,0,0)
(0.859335, 0.458926, 0.225678)1.5(0,0.7,0)
(0.639884, 0.615508, 0.460107)1.5(1.,0,0)
(0.471628, 0.604589, 0.641903)1.5(1.,0,0)
(0.63573, 0.616392, 0.46466)1.5(1.,0,0)
(0.728038, 0.571348, 0.378844)1.5(0,0.7,0)
(0.195697, 0.783663, 0.589554)1.5(0,0.7,0)
(0.946781, 0.254054, 0.197644)1.5(1.,0,0)
(0.553102, 0.638879, 0.534707)1.5(1.,0,0)
(0.574155, 0.808137, 0.131381)1.5(0,0.7,0)
(0.647642, 0.535122, 0.542406)1.5(1.,0,0)
(0.645274, 0.751158, 0.139222)1.5(0,0.7,0)
(0.416183, 0.626932, 0.658595)1.5(1.,0,0)
(0.64465, 0.763133, 0.0453194)1.5(0,0.7,0)
(0.54546, 0.797662, 0.257312)1.5(0,0.7,0)
(0.850626, 0.457033, 0.259917)1.5(0,0.7,0)
(0.0888834, 0.711567, 0.696974)1.5(1.,0,0)
(0.899402, 0.187153, 0.39503)1.5(0,0.7,0)
(0.121999, 0.117776, 0.985518)1.5(1.,0,0)
(0.757943, 0.503838, 0.414331)1.5(1.,0,0)
(0.594499, 0.434263, 0.676747)1.5(1.,0,0)
(0.814281, 0.248008, 0.524823)1.5(0,0.7,0)
(0.640752, 0.272522, 0.717752)1.5(1.,0,0)
(0.645402, 0.587713, 0.487902)1.5(1.,0,0)
(0.300455, 0.945249, 0.1274)1.5(0,0.7,0)
(0.0694596, 0.82942, 0.55429)1.5(0,0.7,0)
(0.536541, 0.841474, 0.0636028)1.5(0,0.7,0)
(0.768566, 0.573906, 0.282734)1.5(0,0.7,0)
(0.185953, 0.896139, 0.402935)1.5(0,0.7,0)
(0.261279, 0.828034, 0.496078)1.5(0,0.7,0)
(0.795033, 0.137386, 0.590802)1.5(0,0.7,0)
(0.3754, 0.491921, 0.78555)1.5(0,0.7,0)
(0.543147, 0.407808, 0.73395)1.5(0,0.7,0)
(0.592402, 0.674925, 0.439928)1.5(1.,0,0)
(0.00823767, 0.990015, 0.140723)1.5(0,0.7,0)
(0.531357, 0.736185, 0.419156)1.5(0,0.7,0)
(0.766789, 0.509836, 0.390002)1.5(0,0.7,0)
(0.766467, 0.539511, 0.348505)1.5(0,0.7,0)
(0.824831, 0.544453, 0.152397)1.5(0,0.7,0)
(0.444198, 0.156228, 0.882202)1.5(0,0.7,0)
(0.840857, 0.540699, 0.0245907)1.5(0,0.7,0)
(0.457186, 0.0774949, 0.885988)1.5(0,0.7,0)
(0.108127, 0.695843, 0.710008)1.5(1.,0,0)
(0.47095, 0.569388, 0.673797)1.5(1.,0,0)
(0.0204089, 0.17583, 0.984209)1.5(0,0.7,0)
(0.938356, 0.330805, 0.100276)1.5(0,0.7,0)
(0.231092, 0.853809, 0.466484)1.5(0,0.7,0)
(0.389044, 0.447702, 0.805113)1.5(1.,0,0)
(0.639946, 0.643524, 0.419937)1.5(1.,0,0)
(0.452778, 0.591388, 0.667273)1.5(1.,0,0)
(0.19014, 0.82744, 0.528385)1.5(0,0.7,0)
(0.281134, 0.151305, 0.947666)1.5(0,0.7,0)
(0.0920965, 0.595484, 0.798071)1.5(0,0.7,0)
(0.454365, 0.823774, 0.339042)1.5(0,0.7,0)
(0.356649, 0.126726, 0.925604)1.5(0,0.7,0)
(0.158749, 0.334977, 0.928757)1.5(0,0.7,0)
(0.636502, 0.561426, 0.528835)1.5(1.,0,0)
(0.551871, 0.323939, 0.768441)1.5(0,0.7,0)
(0.247743, 0.936342, 0.248769)1.5(1.,0,0)
(0.216683, 0.470968, 0.855125)1.5(0,0.7,0)
(0.100818, 0.152571, 0.983137)1.5(1.,0,0)
(0.840106, 0.186343, 0.50941)1.5(0,0.7,0)
